bathrobe,Bademantel
belt,Gürtel
blouse,Bluse
boot,booten
bra,bh
bracelet,Armreif
brush,Bürste
button,Knopf
cap,Mütze
clothes,Kleidung
coat,Mantel
comb,Kamm
contact lens,Kontaktlinse
cotton,Baumwolle
dress,kleiden
earrings,Ohrringe
fashion,Mode
glasses,Brille
glove,Handschuh
handbag,Handtasche
handkerchief,Taschentuch
hat,Hut
jacket,Jacke
necklace,Halskette
needle,Nadel
pants,Hose
pocket,Tasche
purse,Geldbörse
raincoat,Regenmantel
ring,Ring
scarf,Schal
shirt,Hemd
shoe,Schuh
shoelaces,Schnürsenkel
shorts,kurze Hose
silk,Seide
skirt,Rock
sleeve,Ärmel
slippers,Hausschuhe
soap,Seife
sock,Socke
stocking,Strumpf
suit,passen
sunglasses,Sonnenbrille
suspenders,Hosenträger
sweater,Pullover
swimsuit,Badeanzug
tie,Verbindung
T-shirt,T-Shirt
umbrella,Regenschirm
watch,Uhr
wool,Wolle
trousers,Hose
jeans,Jeans
underwear,Unterwäsche
wallet,Brieftasche
bag * 2,Tasche * 2
backpack,Rucksack
