compete , wetteifern
diet , Diät
mix , mischen
rent , Miete
borrow , leihen
book / reserve , buchen / reservieren
exchange , tauschen
register , Register
pay , zahlen
spend , verbringen
earn , verdienen
buy , kaufen
accelerate , beschleunigen
jump , springen
swim , schwimmen
drive , fahren
move , bewegen
refuse , sich weigern
be used to , gewohnt sein
begin , beginnen
like , mögen
start , Start
stop , halt
wonder , Wunder
think , denken
need , Bedarf
decide , entscheiden
feel * 3 , fühlen * 3
plan , Planen
love , lieben
guess , erraten
arrest , Festnahme
hate , Hass
kill , töten
misjudge / mistake , Fehleinschätzung / Irrtum
atack , atack
lose (be defeated),verlieren (besiegt werden)
answer , Antwort
ask , fragen
excuse , entschuldigen
explain , erklären
mean | I mean that ...,meine | Ich meine das...
listen | listen to me , hör zu | hör mir zu
promise , versprechen
advise , beraten
agree , zustimmen
tell * 1 , erzähle * 1
thank , danken
appologize , entschuldigen
forget , vergessen
read , lesen
repeat , wiederholen
speak / talk * 2 , sprechen / sprechen * 2
show , anzeigen
laugh , Lachen
call , anrufen
research / investigate , forschen / untersuchen
teach , lehren
spell , Zauber
study * 2 , studie * 2
learn = teach , lernen = lehren
pass a test / succeed , einen Test bestehe / erfolgreich
accept , akzeptieren
accumulate , ansammeln
add , hinzufügen
arrange , anordnen
assist , assistieren
take a bath , nimm ein Bad
present / introduce , präsentieren / einführen
prepare , vorbereiten
reduce , verringern
attend , teilnehmen
bake , backen
change (from A to B),ändern (von A nach B)
change (property of an object),change (Eigenschaft eines Objekts)
clean , sauber
cook , Koch
disconnect , trennen
draw (picture),draw (Bild)
drink coffee , trinke Kaffee
fall asleep , einschlafen
fear , Angst
finish / end / stop * 2 , beenden / end / stopp * 2
celebrate , feiern
fit , fit
join , beitreten
lay the table , lege den Tisch
leave , verlassen
lock / fasten , verriegelen / befestigen
mail , Post
manufacture , Herstellung
meet (people) * 2 , treffen (Personen) * 2
miss (someone),Miss (jemand)
miss (a bus / a target),verpassen (ein Bus/ ein Ziel)
open , offen
paint (walls / houses / etc.),malen (Mauer / Häuser / etc.)
play , spielen
practice , trainieren
relax , entspannen
share , teilen
succeed , erfolgreich sein
repair * 3 , reparieren* 3
taste , Geschmack
seem , scheinen
visit ... (visit father),besuch... (besuche Vater)
wait , warten
wake up , aufwachen
wash the dishes , wasche das Geschirr
watch , Uhr
work * 2 , arbeit* 2
be named / be called , benannt werden/ angerufen werden
drop , fallen
build , bauen
call (phone),Anruf (Telefon)
care , sorgen
close , nahe
compare , vergleichen
differ (from),unterscheiden (von)
dream , Traum
fill , füllen
follow , folgen
happen , passieren
hear , hören
höja , Höja
belong to ...,gehören zu...
keep in touch , bleiben Sie in Kontakt
find out / inquire , herausfinden / anfragen
belong / originate , Habselig / Ursprung
match / belong together , zusammenspielen / gehören zusammen
help , Hilfe
live , live
look for (a car),suche nach (ein Auto)
marry , heiraten
put , setzen
release / let go , loslassen / loslassen
send , senden
set , einstellen
smoke , Rauch
visit , besuchen
try * 2 , versuche * 2
turn , Wende
use , benutzen
live (somewhere),live (irgendwo)
believe , glauben
depend (on),abhängen (von)
dress ~ undress , Kleid ~ ausziehen
change clothes , Kleidung wechseln
want , wollen
be able to / can , in der Lage sein können / können
be about to / shall , gleich sein / soll
lie (be in a horisonal position),lüge (in einer horisonalen Position sein)
grow , wachsen
suggest , vorschlagen
sell , verkaufen
do = make , mach = machen
remake / redo (to ... - object),remake / redo (to... - Objekt)
lay / put (to some place),lay / put (an irgendeinen Ort)
memorize , sich einprägen
go to bed / lie down , geh ins Bett / lege dich hin
fight , kämpfen
hit / knock , treffen / klopfen
go = walk , go = gehen
revert / return , zurückkehren / zurückkehren
get , erhalten
look = see , schau = sehen
look after , kümmern Sie sich um
appear .../look like ...,erscheinen... /siehst aus wie...
prey (ask),Beute (fragen)
smile , Lächeln
understand , verstehen
missunderstand , missverstehen
consist of , bestehen aus
drag / pull , ziehen / ziehen
fall , fallen
travel * 2 , reisen * 2
give , geben
give up , gib auf
publish , publizieren
admit / concede , zugegeben / zugeben
be , Sein
take , dauern
rest / take a nap , ausruhen / ein Nickerchen machen
repeat / say again , wiederholen / sag nochmal
put on clothes , zieh Kleider an
bring , bringen
die , Matrize
hold = keep , halten = behalten
know , wissen
recieve , erhalten
choose , wählen
continue , fortsetzen
hide , verbergen
say , Mitspracherecht
carry , tragen
steal , stehlen
cut , abschneiden
cry , Weinen
let , vermieten
eat , essen
forgive , verzeihen
come , Kommen Sie
come back , komm zurück
disapper / get lost , disapper / verlaufen
remember / recall , erinnern / erinnern
have , haben
be in a hurry , hab's eilig
wear (clothes),tragen (Kleidung)
remember ...,denken Sie daran...
ride / take a transport , Fahren / nehmen Sie einen Transport
oversleep , verschlafen
sleep , Schlaf
stand , Ständer
burn , brennen
disapper , disapper
drink , trinken
exist , existieren
have time to do , habe Zeit zu tun
run * 2 , lauf* 2
sit , sitzen
win , Sieg
benefit from ...,profitieren Sie von...
avoid / escape * 2 , vermeiden / entkommen * 2
find * 2 , finde * 2
escape (from object or punishment),Flucht (von Objekt oder Strafe)
become , werden
bite , beißen
ride , Reiten
run / operate some machine , laufen / betreiben Sie eine Maschine
write , schreiben
rewrite , umschreiben
sign in , einloggen
sign (an official paper),sign (eine offizielle Zeitung)
shout , schreien
disappoint , enttäuschen
break , Pause
enjoy , genießen
fly , fliegen
invite , einladen
sing , singen
shoot , Spross
